Nome do Repositório,URL do Repositório,Framwork,Linguagem,URL Commit,Mensagem de confirmação,Causa,Categoria da Causa,Correção,Categoria de Correção,Identificação
acceptance-test-harness,https://github.com/jenkinsci/acceptance-test-harness,Selenium-webdriver,Java,https://github.com/jenkinsci/acceptance-test-harness/pull/410/commits/f07816a49d38c7416e20865f02bebe76eb6fd467,[JENKINS-49263] Remove ScriptTest from SmokeTest,"O teste em questão são muito dependentes das alterações da interface do usuário, por isso os devs optaram por retirar da suíte SmokeTest, por não serem totalmente confiáveis",-,"
Teste removido da Suíte SmokeTest.",Teste Ignorado,
acceptance-test-harness,https://github.com/jenkinsci/acceptance-test-harness,Selenium-webdriver,Java,https://github.com/jenkinsci/acceptance-test-harness/pull/410/commits/9098f4a8e368fe3daa3db98691781fdc10d9a459,"[JENKINS-49263] Remove SlaveTest from SmokeTest
* AS it has shown symptoms of lack of robustness","O teste em questão são muito dependentes das alterações da interface do usuário, por isso os devs optaram por retirar da suíte SmokeTest, por não serem totalmente confiáveis",-,"
Teste removido da Suíte SmokeTest.",Teste Ignorado,
acceptance-test-harness,https://github.com/jenkinsci/acceptance-test-harness,Selenium-webdriver,Java,https://github.com/jenkinsci/acceptance-test-harness/pull/130/commits/690ff1841162c6ab529b81ceabb613bc8f21b150,[JENKINS-36036] Fix flaky test 'ScriptSecurityPluginTest#scriptNeedsApproval',"Componente não está renderizado na área visível da página.
Algumas caixas de seleção não são realmente clicadas pelo método de 'clique' do driver de selênio quando estão fora da exibição","Problema no 
seletor DOM",Usa JSExecutor para identificar e clicar no componente.,Alterar forma de acesso ao elemento,
acceptance-test-harness,https://github.com/jenkinsci/acceptance-test-harness,Selenium-webdriver,Java,https://github.com/jenkinsci/acceptance-test-harness/commit/e2f2ec3a6442d0ac6097a3cc5f005f49232dae43,Fix batch-task flaky test,"Se navegador for aberto com largura de 960 pixels ou menos  o menu de cabeçalho não é exibido, sendo exibido um botão 'Hamburger' em seu lugar.","Tamanho da Tela
","Adição de verificação se o botão hamburguer é exibido, se sim, é realizado clique no mesmo para exibir o elemento Header.",Correção de Lógica,
Selenium2,https://github.com/KirillJacobson/Selenium2,Selenium-webdriver,Java,https://github.com/KirillJacobson/Selenium2/commit/00db0a5d296a2931b020b848b0e96563bfdead59,"SimonStewart: This frame deleting test is remarkably flaky

git-svn-id: https://selenium.googlecode.com/svn/trunk@9696 07704840-8298-11de-bf8c-fd130f914ac9",O teste em quesão aparenta descobrir um bug HtmlUnit,Falha da ferramenta,"

Teste ignorado na execução da suíte.",Teste Ignorado,
Selenium2,https://github.com/KirillJacobson/Selenium2,Selenium-webdriver,Java,https://github.com/KirillJacobson/Selenium2/commit/7b714a84b919b9d2f20c52dd3ee6e261d82729b8,"SimonStewart: Adding a pause into a flaky test. This shouldn't be necessary, but is. *sigh*

git-svn-id: https://selenium.googlecode.com/svn/trunk@8258 07704840-8298-11de-bf8c-fd130f914ac9","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de TheadSleep antes do assert.,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Python,https://github.com/SeleniumHQ/selenium/commit/310f2236c2f9f85d54585bee9d9b82653903b400,[py] flaky Chrome tests need a little more time on github actions,"Provavelmente, o tempo de espera estabelecido não esta sendo o suficiente para renderizar os elementos.",Condição de corrida,Aumento no tempo das esperas explícitas.,Aumento no tempo de espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/pull/9383/commits/099b1dddf27f7884aa97f2b92ee4a7fc53bf79fb,[grid] Fix flaky event bus tests by dedicated threading and reverting the polling loop logic.,"Código não compara o valor recebido com o esperado, o que segundo o autor deixa o teste sem utilidade, também foi identificada condição de corrida. ",Condição de corrida,Teste apagado.,"Teste removido
",
,,,,,,,Problema de Lógica,,,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/bf734f80173ea2e623a0d486f52fb1fba474aa20,[java] Fixing a flaky Firefox test (it can fire more events),"Asserção verifica uma string exata, quando na verdade só se deve verificar parte dela.",Problema de Lógica,"
Altera a asserção para, ao invés de verificar uma string completa, verificar se a string retorna contém o trecho esperado.",Correção de Lógica,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/ffe8c09a8d3710df20944b315915289c52472b39,[java] Ignoring flaky chrome tests,"Caso de teste apresenta comportamento aleatório no Chrome, não foi possível identificar mais detalhes sobre a falha.",-,Teste ignorado na Chrome,Teste Ignorado,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/35e0ed988a314a6248a9b396ad152a0b0b976e40,"[java] Ignoring a flaky chrome test (it's the driver flakiness, we can't do anything on our side)","Caso de teste apresenta comportamento aleatório no Chrome. Segundo o autor, o problema é uma falha no drive.",Falha da ferramenta,Teste ignorado na Chrome,Teste Ignorado,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/c1a91d5caa2b3704b2e43100a1262c039b764bdc,[java] Fixing flakiness of a test in Firefox,"Provavelmente, o botão não estava sendo renderizado a tempo do click.",Condição de corrida,Adição de Espera explícita antes de clicar no botão,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/da099eb9c0cfbd5f7d9e372bbf810551b78086c1,[java] Ignoring a flaky chrome test,"Caso de teste apresenta comportamento aleatório no Chrome, não foi possível identificar mais detalhes sobre a falha.",-,Teste ignorado na Chrome,Teste Ignorado,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,JS,https://github.com/SeleniumHQ/selenium/commit/138967278470a75e7ace937a7e3a3430872532c9,[js] Attempt to de-flake a test with a hard sleep (yuck),"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de espera (Sleep),Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Python,https://github.com/SeleniumHQ/selenium/commit/8a9c46494e56537cf89db2c70f616021d881af99,[py] Fixing a flaky (in marionette) test,"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita ,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Python,https://github.com/SeleniumHQ/selenium/commit/2b0f1a59736609e825edc4448f7027c65ef91ea8,[py] Fixing flaky (in marionette) tests,"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Python,https://github.com/SeleniumHQ/selenium/commit/b4742b394f3cdb62f055bb560ffd29b76f6b5c40,[py] Fixing a flaky (in marionette) test,"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita ,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Ruby,https://github.com/SeleniumHQ/selenium/commit/78d7a3bacd71339353a41273bf053f5cede0b2d0,[rb] wait for element in flaky phantomjs test,"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita pelo elemento,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/c95184ab68b35f72e9fdbbe21ccd92d27985114f,deflaking test the intermittently fails in travis,- sobre a falha.,Problema de Lógica,"Troca da estrutura TryCatch pela função ignoring, para ignorar a classe UnhandledAlertException de exceção durante o tempo de espera.",Correção de Lógica,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/b4ef4ec3e6c83139f83701ce2b1e8e4951ad4133,"more test de-flaking in travis, hopefully.","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita nas asserções.,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/62eabcc52a9f21e91f93d8e18339375e2d170676,"test flaked once in travis, adding wait. [ci skip]","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita na asserção.,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/99a8acef4c62dfcf912f9479d68b44965830a6b5,"use a Map instead of a Pair to avoid javafx, javafx should be everywhere though :)

attempting to deflake more tests with sendkeys","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita nas asserções.,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/f47ad3da299793d70c833868f251d7af26a4d339,"adding a broken test that we need to figure out how to solve for ErrorCodes to keep JSONWire compatibility with 2.X

ignoring a flaky grid test",-,-,"[Remoção do Caso de Teste]

Teste ignorado ",Teste Ignorado,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/0153e9e6755cabfea7e91cf8272407a3e8e4e963,more test de-flaking,"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,"- Adição de espera explícita antes da asserção;
- Adição da função ignoring, para ignorar a classe GridExceptionde exceção durante o tempo de espera.",Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/3ec944c17156c48b9c814106483dd9fe00331db1,Ignore flaky test,- ,-,"[Remoção do Caso de Teste]

Teste ignorado ",Teste Ignorado,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Python,https://github.com/SeleniumHQ/selenium/commit/1f797856db0871d845d0604666e13101b8ff9c15,add explicit condition of waiting for two elements to de-flake python phantomjs test,"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Definição de função que realiza espera explícita por dois elementos.,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/2abffbe05a7b9bbef1c2b1cab87a474e80019823,"De-flake ImplicitWaitTest.

This test hits an ArrayOutOfBoundsException a little over 1% of the time
on my continuous build. This fix waits until we're sure there are two
open windows before attempting to reference the second window.","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita ,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/e9b681794db7a929afbe86ce53c39aa86e8059be,"Deflake a test
by ensuring all frames are loaded before we take a screenshot","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita ,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/77c7c9289ce3f7a21c018b9281b1835d36a29206,"Deflake PageLoadingTest by allowing more time for things to load.
Forefox/Desktop and Chrome/Android were especially flaky.
Refactor the tests and add testPageLoadTimeoutCanBeChanged().","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita ,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/44d87cae0efe34367cddacc8e8bc6dd530224a47,Deflake test (especially flaky on Firefox desktop),"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita ,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/6a34eac95ed79121e7fe7e2d169002d20e30e427,"Deflake a test.
I don't think, by contract, page MUST be loaded after
driver.executeScript(""window.open(url, 'newWindow')"");
driver.switchTo().window(""newWindow"");
returns. This has been flaky with Chrome on Windows XP, specifically.","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita ,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/8edf63c6446a5750e8f25423f57127577f451080,"Deflaking tests

Signed-off-by: Andreas Tolfsen <ato@mozilla.com>","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita ,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/f31bcf5abb3f1eb7529ddc78b6f744700af2a39d,Fixing testShouldNotStopLoadingPageAfterTimeout() which shows about 1% flakiness on Firefox on Linux.,"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de espera explícita que ignora a classeStaleElementReferenceException de exceção durante o tempo de espera.,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/6e0cb6cdef8017ff7e38aed196c9fcda79112ad5,Deflake AlertsTest and FrameSwitchingTest.,"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de espera explícita que ignora a classeStaleElementReferenceException de exceção durante o tempo de espera.,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/320e9ea1e5d396b42027db5d69c609cca7980b70,"Deflake AlertsTest; tests are stable over 100 runs.
Also adding some padding to the alerts test page to make it mobile friendly.","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita até mensagem de alerta ser exibida,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/f3e674a2a6ef6c1cfc44ec570e6edc149d456c8c,"De-flaking PageLoadingTest. Tests are stable over 100 runs.

Signed-off-by: Jason Leyba <jmleyba@gmail.com>","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita antes de verificação de mensagens,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/5d0415f09ad88066a333fa7974ab02c3d286e232,"fix flakey test (for IE)

frame isn't guaranteed to be loaded immediately","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita pelo carregamento do frame,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/33326a8abc63bbd8e24b636f625093f8321bdc98,Tweak a test so it's less flaky.,-,Problema de Lógica,-   ,Correção de Lógica,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/a99d75fa77d39ce0701b969cb2056d069d385dc5,"SimonStewart: Making a flaky firefox driver test more robust by waiting for the page url to be stable and correct

r16953",- ,Problema de Lógica,Adição da verificação de URL,Correção de Lógica,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/05c79402c3c86b5b248707504297cf06ed99906a,"SimonStewart: Flakiness in our test suite isn't acceptable. Marking the content editable typing test as ignored for firefox and filing issue 3127 about it.

r15304","Teste apresenta resultados aleatórios em execuções no Firefox, sem mais informações sobre a falha.",-,Teste ignorado para execuções no Firefox,Teste Ignorado,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/0ae710e511a5e806c7e42942239a914bfb19ef55,"DanielWagnerHall: Wait for result of click to reduce flakiness

r14466","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita antes de ação de click,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/d955407969865143ab23f2a4135704ad1ac0e43c,"EranMes: Making the ElementSelectingTest wait for the desired state - otherwise it's flaky when native events are turned on.

r13505","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/e5e8b461e32a1d8bd694741e7aaba632a3129196,"EranMes: This test was flaky when using the SeleniumBackedWebDriver. added a wait.

r12223","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita de asserção.,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/f6b0d52254273fc571524751c41aab931ab2cac5,"SimonStewart: This frame deleting test is remarkably flaky

r9696","Teste apresenta comportamento indeterminístico, sem outras informações sobre a falha.",-,Teste Ignorado,Teste Ignorado,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/37e236036efd70b9d197285b9c1f4b080dfdf0b0,"SimonStewart: Adding a pause into a flaky test. This shouldn't be necessary, but is. *sigh*

r8258","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera (Thread.Sleep) antes da asserção,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/f8b05db257b66e3315b1b5b92dbcc703163a8b35,"SimonStewart: Ignoring a flaky test. Must address the root cause

r6831",- sobre a falha.,-,Teste ignorado ,Teste Ignorado,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/c537deed1f49805bda77f7d7fd2d481f40cc7169,"SimonStewart: Updated the keyboard event sending in the IE driver to try and make it less flakey

r5006","Aparentemente, a busca por Xpath torna o teste instável.","Problema no 
seletor DOM",Mudar forma de acesso ao elemento de xpath para id e name e aumento no tempo de uma espera implícita.,Alterar forma de acesso ao elemento,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Python,https://github.com/SeleniumHQ/selenium/commit/310f2236c2f9f85d54585bee9d9b82653903b400,[py] flaky Chrome tests need a little more time on github actions,"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Aumento no tempo das esperas explícitas.,Aumento no tempo de espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/c1a91d5caa2b3704b2e43100a1262c039b764bdc,[java] Fixing flakiness of a test in Firefox,"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera implícita antes de click.,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/da099eb9c0cfbd5f7d9e372bbf810551b78086c1,[java] Ignoring a flaky chrome test,"Teste apresenta comportamento indeterminístico quando executado no google chrome, sem outras informações sobre a falha.",-,Teste ignorado ,Teste Ignorado,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Python,https://github.com/SeleniumHQ/selenium/commit/8a9c46494e56537cf89db2c70f616021d881af99,[py] Fixing a flaky (in marionette) test,"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Python,https://github.com/SeleniumHQ/selenium/commit/2b0f1a59736609e825edc4448f7027c65ef91ea8,[py] Fixing flaky (in marionette) tests,"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/7dc28d9155c85cb27aeee70ab921bd722a87a303,Fixing flakiness in waiting for a text,- ,-,Troca função criada no código por uma função nativa do framwork para verificar se o WebElement possui um texto específico,Correção de Lógica,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Ruby,https://github.com/SeleniumHQ/selenium/commit/dbef55b7e5a76376692feb28de0f70b675808d15,[rb] get rid of flaky test for remote phantomjs,- ,-,Teste ignorado.,Teste Ignorado,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Ruby,https://github.com/SeleniumHQ/selenium/commit/78d7a3bacd71339353a41273bf053f5cede0b2d0,[rb] wait for element in flaky phantomjs test,"Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/c95184ab68b35f72e9fdbbe21ccd92d27985114f,deflaking test the intermittently fails in travis,-,-,"Adição da função ignoring, para ignorar a classe UnhandledAlertException.class enquanto esperar o elemento ser carregado.",Correção de Lógica,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/b4ef4ec3e6c83139f83701ce2b1e8e4951ad4133,"more test de-flaking in travis, hopefully.","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/62eabcc52a9f21e91f93d8e18339375e2d170676,"test flaked once in travis, adding wait. [ci skip]","Aparentemente, o teste apresenta execução rápida, não dando tempo suficiente para os elementos serem renderizados.",Condição de corrida,Adição de Espera explícita,Adição de Espera,
selenium,https://github.com/SeleniumHQ/selenium,Selenium-webdriver,Java,https://github.com/SeleniumHQ/selenium/commit/f47ad3da299793d70c833868f251d7af26a4d339,"adding a broken test that we need to figure out how to solve for ErrorCodes to keep JSONWire compatibility with 2.X

ignoring a flaky grid test",-,-,Teste ignorado ,Teste Ignorado,
